部门,车牌号,油耗,,,碳排放（KG）,日期
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/11/15
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/15
04无排行无提醒,皖AT0540,50.45,0.73,3.088,113.726408,2019/11/16
04无排行无提醒,粤BP439V,5.19,0.73,3.088,11.6995056,2019/11/16
04无排行无提醒,粤PR5795,3.31,0.73,3.088,7.4615344,2019/11/16
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2019/11/16
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/16
04无排行无提醒,粤STB959,0.07,0.73,3.088,0.1577968,2019/11/16
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/16
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/16
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/16
04无排行无提醒,皖AT0540,51.34,0.73,3.088,115.7326816,2019/11/17
04无排行无提醒,粤STB959,4.63,0.73,3.088,10.4371312,2019/11/17
04无排行无提醒,粤B0Y92H,5.91,0.73,3.088,13.3225584,2019/11/17
04无排行无提醒,粤PR5795,1.29,0.73,3.088,2.9079696,2019/11/17
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/11/17
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/17
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/17
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/17
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/17
04无排行无提醒,皖AT0540,37.85,0.73,3.088,85.322984,2019/11/18
04无排行无提醒,粤STB959,4.03,0.73,3.088,9.0845872,2019/11/18
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/11/18
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2019/11/18
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/18
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/18
04无排行无提醒,粤PR5795,0.85,0.73,3.088,1.916104,2019/11/18
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/18
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/18
04无排行无提醒,皖AT0540,50.22,0.73,3.088,113.2079328,2019/11/19
04无排行无提醒,粤BP439V,2.05,0.73,3.088,4.621192,2019/11/19
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2019/11/19
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/19
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/11/19
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/19
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/19
04无排行无提醒,粤PR5795,2.47,0.73,3.088,5.5679728,2019/11/19
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/19
04无排行无提醒,皖AT0540,40.25,0.73,3.088,90.73316,2019/11/20
04无排行无提醒,粤BP439V,6.67,0.73,3.088,15.0357808,2019/11/20
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/11/20
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/20
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2019/11/20
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/20
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/20
04无排行无提醒,粤PR5795,1.87,0.73,3.088,4.2154288,2019/11/20
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/20
04无排行无提醒,皖AT0540,54.71,0.73,3.088,123.3294704,2019/11/21
04无排行无提醒,粤BP439V,6.88,0.73,3.088,15.5091712,2019/11/21
04无排行无提醒,粤PR5795,0.94,0.73,3.088,2.1189856,2019/11/21
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/11/21
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2019/11/21
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/21
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/21
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/21
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/21
04无排行无提醒,皖AT0540,45.12,0.73,3.088,101.7113088,2019/11/22
04无排行无提醒,粤BP439V,5.6,0.73,3.088,12.623744,2019/11/22
04无排行无提醒,粤PR5795,0.95,0.73,3.088,2.141528,2019/11/22
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2019/11/22
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/22
04无排行无提醒,粤STB959,0.2,0.73,3.088,0.450848,2019/11/22
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/22
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/22
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/22
