"","车牌号","部门","绝色出行天数","行驶天数","油耗","碳排放.kg.","绿色出行减排.kg."
"289","皖AT0576","02有排行无提醒",0,23,919.03,2071.49,0
"290","粤SL3H57","02有排行无提醒",19,4,7.99,18.01,85.54
"291","粤BL05M1","02有排行无提醒",5,1,1.97,4.44,22.2
"292","皖AT0575","02有排行无提醒",0,3,111.66,251.68,0
"293","皖AT0601","02有排行无提醒",0,3,158.83,358,0
"294","皖AT0623","04无排行无提醒",0,3,110.16,248.3,0
"295","皖AT0658","04无排行无提醒",0,3,91.38,205.97,0
"296","皖AT0560","04无排行无提醒",0,3,167.59,377.75,0
"297","皖AT0549","03无排行有提醒",0,3,179.29,404.12,0
"298","皖AT0580","02有排行无提醒",0,3,64.11,144.5,0
"299","皖AT0579","03无排行有提醒",0,3,95.54,215.35,0
"300","皖AT0547","01有排行有提醒",0,3,154.43,348.09,0
"301","皖AT0541","02有排行无提醒",0,3,174.5,393.32,0
"302","皖AT0621","03无排行有提醒",0,3,139.57,314.59,0
"303","皖AT0657","02有排行无提醒",0,3,155.49,350.47,0
"304","皖AT0631","03无排行有提醒",0,3,126.51,285.15,0
"305","皖AT0589","03无排行有提醒",0,3,97.43,219.61,0
"306","皖AT0650","01有排行有提醒",0,3,142.51,321.22,0
"307","皖AT0632","03无排行有提醒",0,3,165.72,373.53,0
"308","皖AT0563","03无排行有提醒",0,2,23.57,53.13,0
"309","皖AT0641","02有排行无提醒",0,3,97.56,219.9,0
"310","皖AT0596","03无排行有提醒",0,3,120.54,271.7,0
"311","皖AT0642","01有排行有提醒",0,2,67.03,151.09,0
"312","皖AT0633","03无排行有提醒",0,3,134.8,303.84,0
"313","皖AT0565","04无排行无提醒",0,3,124.88,281.48,0
"314","皖AT0665","01有排行有提醒",0,3,102.68,231.44,0
"315","皖AT0613","02有排行无提醒",0,3,121.39,273.61,0
"316","皖AT0599","01有排行有提醒",0,3,92.58,208.68,0
"317","皖AT0591","03无排行有提醒",0,3,144.26,325.16,0
"318","皖AT0666","04无排行无提醒",0,3,93.85,211.54,0
"319","皖AT0568","01有排行有提醒",0,3,55.33,124.71,0
"320","皖AT0608","04无排行无提醒",0,2,56.25,126.79,0
"321","皖AT0661","04无排行无提醒",0,3,91.51,206.26,0
"322","皖AT0600","01有排行有提醒",0,3,126.23,284.52,0
"323","皖AT0539","03无排行有提醒",0,3,132.05,297.64,0
"324","皖AT0543","02有排行无提醒",2,1,14.79,33.34,66.67
"325","皖AT0628","01有排行有提醒",0,3,98.52,222.06,0
"326","皖AT0620","02有排行无提醒",0,3,60.18,135.65,0
"327","皖AT0616","04无排行无提醒",0,3,86.75,195.53,0
"328","皖AT0556","04无排行无提醒",0,1,5.29,11.92,0
"329","皖AT0609","01有排行有提醒",0,1,0.94,2.12,0
"330","1.22E+16","02有排行无提醒",2,1,0.82,1.85,3.7
"331","1.22E+16","03无排行有提醒",2,1,0.26,0.59,1.17
"332","皖AT0619","01有排行有提醒",0,2,22.39,50.47,0
"333","皖AT0580","02有排行无提醒",0,31,624.08,1406.68,0
"334","皖AT0541","02有排行无提醒",0,31,2030.29,4576.27,0
"335","皖AT0657","02有排行无提醒",0,31,1743.53,3929.92,0
"336","皖AT0576","02有排行无提醒",0,31,1747.35,3938.53,0
"337","皖AT0601","02有排行无提醒",0,31,1672.08,3768.87,0
"338","皖AT0641","02有排行无提醒",0,7,274.15,617.93,0
"339","皖AT0613","02有排行无提醒",0,31,1304.93,2941.31,0
"340","皖AT0575","02有排行无提醒",0,31,1571.63,3542.45,0
"341","皖AT0620","02有排行无提醒",0,31,944.94,2129.89,0
"342","粤B9XN26","02有排行无提醒",2,29,236.18,532.35,36.71
"343","粤B3Q03K","02有排行无提醒",2,29,407.71,918.98,63.38
"344","闽C88DN2","02有排行无提醒",31,0,0,0,108.81
"345","1.22E+16","02有排行无提醒",31,0,0,0,57.35
"346","皖AYY059","02有排行无提醒",31,0,0,0,244.28
"347","粤B7U0H5","02有排行无提醒",31,0,0,0,120.59
"348","粤BN8G52","02有排行无提醒",0,0,0,0,0
"349","粤BL05M1","02有排行无提醒",8,23,43.03,96.99,33.74
"350","粤JCL629","02有排行无提醒",19,12,62.12,140.02,221.7
"351","皖AT0543","02有排行无提醒",31,0,0,0,1033.54
"352","粤SL3H57","02有排行无提醒",31,0,0,0,139.5
"353","皖AT0576","02有排行无提醒",1,30,1184.12,2669.01,88.97
"354","皖AT0541","02有排行无提醒",0,31,1998.67,4505,0
"355","皖AT0580","02有排行无提醒",0,31,384.46,866.57,0
"356","粤B3Q03K","02有排行无提醒",3,28,323.47,729.1,78.12
"357","皖AT0657","02有排行无提醒",0,31,1576.78,3554.06,0
"358","皖AT0601","02有排行无提醒",4,27,1098.68,2476.42,366.88
"359","皖AT0575","02有排行无提醒",6,25,1074.25,2421.36,581.13
"360","皖AT0613","02有排行无提醒",3,28,866.68,1953.5,209.3
"361","皖AT0620","02有排行无提醒",2,29,684.71,1543.34,106.44
"362","粤JCL629","02有排行无提醒",8,23,158.47,357.19,124.24
"363","皖AT0641","02有排行无提醒",0,0,0,0,0
"364","皖AT0543","02有排行无提醒",31,0,0,0,1033.54
"365","1.22E+16","02有排行无提醒",31,0,0,0,57.35
"366","皖AYY059","02有排行无提醒",31,0,0,0,244.28
"367","粤B9XN26","02有排行无提醒",17,14,140.76,317.27,385.26
"368","闽C88DN2","02有排行无提醒",31,0,0,0,108.81
"369","粤SL3H57","02有排行无提醒",31,0,0,0,139.5
"370","粤BL05M1","02有排行无提醒",7,24,146.99,331.32,96.63
"371","粤B7U0H5","02有排行无提醒",31,0,0,0,120.59
"372","粤BN8G52","02有排行无提醒",0,0,0,0,0
"373","皖AT0541","02有排行无提醒",1,28,628.5,1416.64,50.59
"374","皖AT0580","02有排行无提醒",1,28,146.95,331.23,11.83
"375","粤BL05M1","02有排行无提醒",19,10,111.03,250.26,475.5
"376","皖AT0613","02有排行无提醒",19,10,35.04,78.98,150.06
"377","粤JCL629","02有排行无提醒",18,11,16.28,36.7,60.05
"378","皖AT0576","02有排行无提醒",23,6,2.01,4.53,17.37
"379","皖AT0620","02有排行无提醒",19,10,53.37,120.3,228.56
"380","皖AT0601","02有排行无提醒",20,9,167.37,377.25,838.34
"381","皖AT0657","02有排行无提醒",1,28,608.93,1372.53,49.02
"382","皖AT0641","02有排行无提醒",0,0,0,0,0
"383","皖AT0575","02有排行无提醒",21,8,131.8,297.08,779.83
"384","皖AT0543","02有排行无提醒",29,0,0,0,966.86
"385","闽C88DN2","02有排行无提醒",29,0,0,0,101.79
"386","粤B3Q03K","02有排行无提醒",7,20,45.71,103.03,36.06
"387","1.22E+16","02有排行无提醒",29,0,0,0,53.65
"388","皖AYY059","02有排行无提醒",29,0,0,0,228.52
"389","粤B9XN26","02有排行无提醒",28,1,5.48,12.35,345.85
"390","粤SL3H57","02有排行无提醒",29,0,0,0,130.5
"391","粤B7U0H5","02有排行无提醒",29,0,0,0,112.81
"392","粤BN8G52","02有排行无提醒",0,0,0,0,0
"393","皖AT0575","02有排行无提醒",3,28,917.16,2067.28,221.49
"394","皖AT0601","02有排行无提醒",10,21,576.58,1299.61,618.86
"395","皖AT0657","02有排行无提醒",0,31,1370.64,3089.42,0
"396","皖AT0541","02有排行无提醒",0,31,1221.15,2752.47,0
"397","皖AT0580","02有排行无提醒",0,31,154.32,347.84,0
"398","皖AT0576","02有排行无提醒",5,26,717.58,1617.43,311.04
"399","粤B3Q03K","02有排行无提醒",1,30,110.12,248.21,8.27
"400","粤BL05M1","02有排行无提醒",23,8,73.31,165.24,475.07
"401","皖AT0613","02有排行无提醒",15,16,397.64,896.28,840.26
"402","皖AT0620","02有排行无提醒",2,29,576.39,1299.18,89.6
"403","皖AT0641","02有排行无提醒",0,0,0,0,0
"404","皖AT0543","02有排行无提醒",31,0,0,0,1033.54
"405","粤JCL629","02有排行无提醒",5,26,30.14,67.94,13.06
"406","1.22E+16","02有排行无提醒",31,0,0,0,57.35
"407","皖AYY059","02有排行无提醒",31,0,0,0,244.28
"408","粤B9XN26","02有排行无提醒",5,26,213.79,481.88,92.67
"409","闽C88DN2","02有排行无提醒",31,0,0,0,108.81
"410","粤SL3H57","02有排行无提醒",31,0,0,0,139.5
"411","粤B7U0H5","02有排行无提醒",31,0,0,0,120.59
"412","粤BN8G52","02有排行无提醒",0,0,0,0,0
"413","皖AT0541","02有排行无提醒",0,30,1594.83,3594.75,0
"414","皖AT0575","02有排行无提醒",6,24,1268.97,2860.26,715.06
"415","皖AT0601","02有排行无提醒",0,30,1077.42,2428.5,0
"416","皖AT0576","02有排行无提醒",0,30,1092.75,2463.06,0
"417","皖AT0580","02有排行无提醒",7,23,265.99,599.54,182.47
"418","皖AT0620","02有排行无提醒",0,30,787.33,1774.64,0
"419","皖AT0657","02有排行无提醒",0,30,1138.86,2566.99,0
"420","粤B3Q03K","02有排行无提醒",0,30,92.43,208.34,0
"421","粤JCL629","02有排行无提醒",6,24,30.18,68.03,17.01
"422","皖AT0641","02有排行无提醒",0,0,0,0,0
"423","粤BN8G52","02有排行无提醒",0,0,0,0,0
"424","皖AYY059","02有排行无提醒",30,0,0,0,236.4
"425","1.22E+16","02有排行无提醒",30,0,0,0,55.5
"426","闽C88DN2","02有排行无提醒",30,0,0,0,105.3
"427","皖AT0543","02有排行无提醒",30,0,0,0,1000.2
"428","粤B9XN26","02有排行无提醒",7,23,259.26,584.37,177.85
"429","粤SL3H57","02有排行无提醒",30,0,0,0,135
"430","粤B7U0H5","02有排行无提醒",30,0,0,0,116.7
"431","皖AT0613","02有排行无提醒",30,0,0,0,2387.1
"432","粤BL05M1","02有排行无提醒",17,13,33.8,76.19,99.63
"433","皖AT0601","02有排行无提醒",0,31,1247.22,2811.23,0
"434","皖AT0541","02有排行无提醒",0,31,1854.03,4178.98,0
"435","皖AT0657","02有排行无提醒",0,31,1230.5,2773.55,0
"436","皖AT0576","02有排行无提醒",1,30,1034.1,2330.86,77.7
"437","皖AT0620","02有排行无提醒",0,31,1002.63,2259.93,0
"438","粤B9XN26","02有排行无提醒",5,26,283.74,639.55,122.99
"439","粤B3Q03K","02有排行无提醒",1,30,101.15,227.99,7.6
"440","皖AYY059","02有排行无提醒",31,0,0,0,244.28
"441","粤JCL629","02有排行无提醒",18,13,23.48,52.92,73.28
"442","皖AT0641","02有排行无提醒",0,0,0,0,0
"443","皖AT0575","02有排行无提醒",31,0,0,0,3261.51
"444","1.22E+16","02有排行无提醒",31,0,0,0,57.35
"445","闽C88DN2","02有排行无提醒",31,0,0,0,108.81
"446","皖AT0580","02有排行无提醒",31,0,0,0,787.09
"447","粤SL3H57","02有排行无提醒",31,0,0,0,139.5
"448","粤BL05M1","02有排行无提醒",16,15,96.39,217.26,231.75
"449","粤B7U0H5","02有排行无提醒",31,0,0,0,120.59
"450","粤BN8G52","02有排行无提醒",0,0,0,0,0
"451","皖AT0613","02有排行无提醒",14,17,674.72,1520.82,1252.44
"452","皖AT0543","02有排行无提醒",31,0,0,0,1033.54
"453","皖AT0601","02有排行无提醒",0,30,1222.4,2755.29,0
"454","皖AT0541","02有排行无提醒",0,30,1193.62,2690.42,0
"455","皖AT0576","02有排行无提醒",15,15,564.06,1271.39,1271.39
"456","皖AT0657","02有排行无提醒",0,30,1100.49,2480.5,0
"457","皖AT0620","02有排行无提醒",0,30,1119.33,2522.97,0
"458","粤B9XN26","02有排行无提醒",3,27,306.88,691.71,76.86
"459","粤JCL629","02有排行无提醒",7,23,47.47,107,32.56
"460","粤B3Q03K","02有排行无提醒",0,30,117.29,264.37,0
"461","粤BL05M1","02有排行无提醒",26,4,10.26,23.13,150.32
"462","1.22E+16","02有排行无提醒",30,0,0,0,55.5
"463","皖AT0575","02有排行无提醒",30,0,0,0,3156.3
"464","皖AT0641","02有排行无提醒",0,0,0,0,0
"465","皖AT0580","02有排行无提醒",30,0,0,0,761.7
"466","皖AYY059","02有排行无提醒",30,0,0,0,236.4
"467","皖AT0613","02有排行无提醒",1,29,1137.56,2564.06,88.42
"468","闽C88DN2","02有排行无提醒",30,0,0,0,105.3
"469","粤SL3H57","02有排行无提醒",30,0,0,0,135
"470","粤B7U0H5","02有排行无提醒",30,0,0,0,116.7
"471","皖AT0543","02有排行无提醒",30,0,0,0,1000.2
"472","粤BN8G52","02有排行无提醒",0,0,0,0,0
"473","皖AT0657","02有排行无提醒",0,15,617.32,1391.44,0
"474","皖AT0613","02有排行无提醒",0,15,631.9,1424.3,0
"475","皖AT0541","02有排行无提醒",0,15,625.97,1410.94,0
"476","皖AT0620","02有排行无提醒",0,15,524.23,1181.61,0
"477","皖AT0601","02有排行无提醒",0,15,627.24,1413.8,0
"478","粤B9XN26","02有排行无提醒",2,13,140.06,315.7,48.57
"479","粤JCL629","02有排行无提醒",4,11,25.59,57.68,20.97
"480","粤BL05M1","02有排行无提醒",2,13,29.74,67.03,10.31
"481","皖AT0580","02有排行无提醒",15,0,0,0,380.85
"482","闽C88DN2","02有排行无提醒",15,0,0,0,52.65
"483","皖AT0575","02有排行无提醒",15,0,0,0,1578.15
"484","皖AT0641","02有排行无提醒",0,0,0,0,0
"485","粤B3Q03K","02有排行无提醒",15,0,0,0,295.95
"486","1.22E+16","02有排行无提醒",15,0,0,0,27.75
"487","皖AYY059","02有排行无提醒",15,0,0,0,118.2
"488","皖AT0543","02有排行无提醒",15,0,0,0,500.1
"489","皖AT0576","02有排行无提醒",15,0,0,0,1302
"490","粤SL3H57","02有排行无提醒",15,0,0,0,67.5
"491","粤B7U0H5","02有排行无提醒",15,0,0,0,58.35
"492","粤BN8G52","02有排行无提醒",0,0,0,0,0
"493","皖AT0657","02有排行无提醒",23,8,434.7,979.81,2816.96
"494","皖AT0601","02有排行无提醒",0,31,1564.82,3527.1,0
"495","皖AT0620","02有排行无提醒",0,31,880.25,1984.08,0
"496","皖AT0613","02有排行无提醒",0,31,980.36,2209.73,0
"497","皖AT0541","02有排行无提醒",0,31,1360.72,3067.06,0
"498","粤BL05M1","02有排行无提醒",9,21,88.35,199.14,85.35
"499","闽C88DN2","02有排行无提醒",31,0,0,0,108.81
"500","皖AT0580","02有排行无提醒",31,0,0,0,787.09
"501","皖AT0641","02有排行无提醒",0,0,0,0,0
