部门,车牌号,日期,驾驶行为评分
04无排行无提醒,皖AT0623,2020/8/18,4.19
04无排行无提醒,皖AT0608,2020/8/18,1.63
01有排行有提醒,粤B048RX,2020/8/18,0
01有排行有提醒,皖AT0609,2020/8/18,0
02有排行无提醒,粤BN8G52,2020/8/18,0
03无排行有提醒,粤TEST01,2020/8/18,0
04无排行无提醒,皖AT0556,2020/8/18,0
02有排行无提醒,皖AT0641,2020/8/18,0
02有排行无提醒,皖AT0580,2020/8/19,100
02有排行无提醒,皖AT0543,2020/8/19,100
03无排行有提醒,皖AT0633,2020/8/19,100
02有排行无提醒,皖AT0576,2020/8/19,100
02有排行无提醒,粤SL3H57,2020/8/19,100
03无排行有提醒,粤BS207S,2020/8/19,100
04无排行无提醒,粤B83CT2,2020/8/19,100
03无排行有提醒,粤B892VK,2020/8/19,100
04无排行无提醒,粤B0Y92H,2020/8/19,100
02有排行无提醒,粤B7U0H5,2020/8/19,100
03无排行有提醒,渝D865V3,2020/8/19,100
01有排行有提醒,粤L39ES3,2020/8/19,100
03无排行有提醒,皖AT0549,2020/8/19,100
04无排行无提醒,皖AT0560,2020/8/19,100
03无排行有提醒,皖AT0579,2020/8/19,100
01有排行有提醒,皖AT0642,2020/8/19,100
01有排行有提醒,皖AT0619,2020/8/19,100
04无排行无提醒,皖AT0666,2020/8/19,100
02有排行无提醒,皖AT0575,2020/8/19,100
03无排行有提醒,皖AT0589,2020/8/19,100
02有排行无提醒,皖AT0657,2020/8/19,100
01有排行有提醒,皖AT0547,2020/8/19,100
04无排行无提醒,皖AT0616,2020/8/19,100
03无排行有提醒,皖AT0539,2020/8/19,100
01有排行有提醒,皖AT0600,2020/8/19,100
04无排行无提醒,皖AT0661,2020/8/19,100
04无排行无提醒,粤BP439V,2020/8/19,100
01有排行有提醒,粤BH218W,2020/8/19,100
03无排行有提醒,粤B533CJ,2020/8/19,100
01有排行有提醒,粤S45B27,2020/8/19,100
02有排行无提醒,粤JCL629,2020/8/19,100
01有排行有提醒,粤LBY602,2020/8/19,100
01有排行有提醒,皖AT0626,2020/8/19,100
