部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度.KM.H.,急加速,急减速,急转弯,疲劳驾驶.次数.,夜间驾驶时长.H.,日期,驾驶行为评分,插拔
04无排行无提醒,粤PR5795,0,0.43,0.81,3.19,0,0,0,0,0,0,2019/9/9,0,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/9/9,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/9/9,100,未拔出
04无排行无提醒,粤B0Y92H,5.9,453.93,1.02,0.33,17.88,1,3,0,0,0,2019/9/10,95.56,未拔出
04无排行无提醒,粤B4C0S6,2.2,2951.7,0.35,0.15,14.67,0,1,0,0,0,2019/9/10,96.49,未拔出
04无排行无提醒,粤BP439V,0,484.63,0,0,0,0,0,0,0,0,2019/9/10,100,未拔出
04无排行无提醒,粤PR5795,0,0.43,3.36,2.09,0,0,0,0,0,2.09,2019/9/10,0,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/9/10,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/9/10,100,未拔出
04无排行无提醒,粤STB959,0,682.11,0,0,0,0,0,0,0,0,2019/9/10,100,未拔出
04无排行无提醒,粤BP439V,72.99,557.62,7.9,2.3,31.73,83,75,0,0,0.02,2019/9/11,46.21,未拔出
04无排行无提醒,粤B83CT2,15.48,15.48,1.82,1.07,14.47,5,14,0,0,0.47,2019/9/11,90.01,未拔出
04无排行无提醒,粤PR5795,0.02,0.45,3.85,2.31,0.01,0,0,0,0,2.31,2019/9/11,88.83,未拔出
04无排行无提醒,粤B0Y92H,0,453.93,0,0,0,0,0,0,0,0,2019/9/11,100,未拔出
04无排行无提醒,粤B4C0S6,0,2951.7,0,0,0,0,0,0,0,0,2019/9/11,100,未拔出
04无排行无提醒,粤STB959,0,682.11,0,0,0,0,0,0,0,0,2019/9/11,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/9/11,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/9/11,100,未拔出
04无排行无提醒,粤B4C0S6,58.73,3010.43,11.46,4.51,13.02,6,33,0,1,4.19,2019/9/12,7.66,未拔出
04无排行无提醒,粤PR5795,0.03,0.48,3.96,2.22,0.01,0,0,0,0,2.1,2019/9/12,86.38,未拔出
04无排行无提醒,粤B0Y92H,0,453.93,0,0,0,0,0,0,0,0,2019/9/12,100,未拔出
04无排行无提醒,粤BP439V,0,557.62,0,0,0,0,0,0,0,0,2019/9/12,100,未拔出
04无排行无提醒,粤STB959,0,682.11,0,0,0,0,0,0,0,0,2019/9/12,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/9/12,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/9/12,100,未拔出
04无排行无提醒,粤B83CT2,0,15.48,0,0,0,0,0,0,0,0,2019/9/12,100,未拔出
04无排行无提醒,粤B4C0S6,56.08,3066.51,6.77,1.6,35.05,1,29,0,0,0,2019/9/13,86.01,未拔出
04无排行无提醒,粤B0Y92H,18.02,471.95,4.29,1.04,17.33,6,20,0,0,0.18,2019/9/13,92.68,未拔出
04无排行无提醒,粤PR5795,0.16,0.64,9.78,4.45,0.04,0,0,0,0,1.24,2019/9/13,90.12,未拔出
04无排行无提醒,粤BP439V,0,557.62,0,0,0,0,0,0,0,0,2019/9/13,100,未拔出
04无排行无提醒,粤STB959,0,682.11,0,0,0,0,0,0,0,0,2019/9/13,100,未拔出
